"","ID","area_mi2","area_km2","area_m2","area_ha","pixels30m"
"1","1012",9.2886291205393,24.0574488620605,24057448.8620605,2405.74488620605,801914.962068685
"2","1015",9.19686908390872,23.8197913605957,23819791.3605957,2381.97913605957,793993.04535319
"3","1114",3.71714350621294,9.6273614387207,9627361.4387207,962.73614387207,320912.047957357
"4","1115",13.6200982431943,35.275906996582,35275906.996582,3527.5906996582,1175863.56655273
"5","1116",10.2284218467608,26.4915018486328,26491501.8486328,2649.15018486328,883050.061621094
"6","112",10.1969267560031,26.409929904541,26409929.904541,2640.9929904541,880330.996818034
"7","1213",10.5240880278171,27.2572740566406,27257274.0566406,2725.72740566406,908575.801888021
"8","1214",4.373777151875,11.328035472168,11328035.472168,1132.8035472168,377601.182405599
"9","1215",6.97539957870467,18.0662093920898,18066209.3920898,1806.62093920898,602206.979736328
"10","1216",7.8392849935245,20.303663263916,20303663.263916,2030.3663263916,676788.775463867
"11","1311",14.245470666094,36.8956148015137,36895614.8015137,3689.56148015137,1229853.82671712
"12","1315",8.80356278972335,22.8011323166504,22801132.3166504,2280.11323166504,760037.743888346
"13","1412",4.9471360174775,12.8130287268066,12813028.7268066,1281.30287268066,427100.957560221
"14","1512",6.94907258387382,17.998022760498,17998022.760498,1799.8022760498,599934.092016602
"15","1515",3.34702728401973,8.66876443017578,8668764.43017578,866.876443017578,288958.814339193
"16","1516",9.24717256132467,23.9500768225098,23950076.8225098,2395.00768225098,798335.894083659
"17","1612",8.75681346614853,22.680052074707,22680052.074707,2268.0052074707,756001.735823568
"18","1613",46.6726274289368,120.881599755859,120881599.755859,12088.1599755859,4029386.65852865
"19","1615",4.50376117895128,11.6646926950684,11664692.6950684,1166.46926950684,388823.089835612
"20","1616",2.64418505346175,6.84841066210937,6848410.66210938,684.841066210938,228280.355403646
"21","1715",4.31096302259685,11.165347557373,11165347.557373,1116.5347557373,372178.251912435
"22","1716",3.65292902871891,9.46104663720703,9461046.63720703,946.104663720703,315368.221240234
"23","1814",10.3027125964086,26.6839140859375,26683914.0859375,2668.39140859375,889463.802864583
"24","1913",9.46697377437832,24.5193595847168,24519359.5847168,2451.93595847168,817311.986157227
"25","1914",10.4089677289016,26.9591137287598,26959113.7287598,2695.91137287598,898637.124291992
"26","1915",7.26027700527251,18.8040388427734,18804038.8427734,1880.40388427734,626801.294759115
"27","1916",5.80771114193105,15.0419089824219,15041908.9824219,1504.19089824219,501396.966080729
"28","2013",10.3643648399481,26.843592729248,26843592.729248,2684.3592729248,894786.424308268
"29","2014",23.9475976592278,62.0240186770019,62024018.677002,6202.4018677002,2067467.2892334
"30","2016",8.30397516777761,21.5072057844238,21507205.7844238,2150.72057844238,716906.859480794
"31","2113",18.3856552846744,47.6186481413574,47618648.1413574,4761.86481413574,1587288.27137858
"32","2114",5.01707133597326,12.9941604445801,12994160.4445801,1299.41604445801,433138.681486003
"33","2116",7.79299436515853,20.1837710375977,20183771.0375977,2018.37710375977,672792.367919922
"34","214",6.34727892041686,16.4393836872559,16439383.6872559,1643.93836872559,547979.456241862
"35","2216",10.890700165096,28.2067955231934,28206795.5231934,2820.67955231934,940226.517439779
"36","2314",11.9521226779389,30.955868340332,30955868.340332,3095.5868340332,1031862.27801107
"37","2316",6.93375421862846,17.9583483603516,17958348.3603516,1795.83483603516,598611.612011719
"38","2409",20.9983127918102,54.3854027998047,54385402.7998047,5438.54027998047,1812846.75999349
"39","2415",13.9570353535228,36.1485704645996,36148570.4645996,3614.85704645996,1204952.34881999
"40","2611",8.66255919089695,22.4359345222168,22435934.5222168,2243.59345222168,747864.484073893
"41","2614",6.21102617765416,16.0864905585937,16086490.5585938,1608.64905585938,536216.351953125
"42","2911",6.96755876954419,18.04590178125,18045901.78125,1804.590178125,601530.059375
"43","316",11.4109571659217,29.5542555229492,29554255.5229492,2955.42555229492,985141.850764974
"44","411",10.6562715891914,27.5996280495605,27599628.0495605,2759.96280495605,919987.601652018
"45","412",13.0049772200581,33.6827502060547,33682750.2060547,3368.27502060547,1122758.34020182
"46","413",8.48253877491406,21.96968359375,21969683.59375,2196.968359375,732322.786458333
"47","414",5.07962492614806,13.156173565918,13156173.565918,1315.6173565918,438539.118863932
"48","415",6.08923357721127,15.7710490419922,15771049.0419922,1577.10490419922,525701.634733073
"49","416",7.19999807470227,18.6479170651855,18647917.0651855,1864.79170651855,621597.235506185
"50","516",4.61660577175231,11.95695896875,11956958.96875,1195.695896875,398565.298958333
"51","615",8.95728782834963,23.1992785024414,23199278.5024414,2319.92785024414,773309.283414714
"52","616",6.6566325389726,17.2406062102051,17240606.2102051,1724.06062102051,574686.873673503
"53","711",6.98968641665323,18.1032121477051,18103212.1477051,1810.32121477051,603440.404923503
"54","713",13.6170546323294,35.2680240773926,35268024.0773926,3526.80240773926,1175600.80257975
"55","715",5.84418157567584,15.1363670109863,15136367.0109863,1513.63670109863,504545.567032878
"56","814",13.4841026072239,34.9236797717285,34923679.7717285,3492.36797717285,1164122.65905762
"57","816",6.2469327018869,16.179488067627,16179488.067627,1617.9488067627,539316.268920898
"58","914",6.43819064693253,16.674844074707,16674844.074707,1667.4844074707,555828.135823568
"59","915",6.07883408970352,15.7441144819336,15744114.4819336,1574.41144819336,524803.816064453
"60","916",8.93917678337922,23.152371092041,23152371.092041,2315.2371092041,771745.703068034
